EQ_ID,Energy,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
EQ0,-1.492152712,2.0175,2.01752,2.03169,2.04463,2.04466,2.04477,2.04479,2.06911,2.06916,2.12788,2.12829,2.33559,2.33559,2.33581,2.33582,2.4871,2.48712
EQ1,-1.485932699,1.98924,1.98925,1.99424,1.99426,2.00639,2.00641,2.09846,2.15598,2.16044,2.16335,2.26483,2.30243,2.3027,2.32711,2.32717,2.3596,2.35962
EQ2,-1.479658429,1.99645,1.99647,2.05223,2.05227,2.05629,2.06886,2.06898,2.08557,2.08559,2.1008,2.17116,2.17191,2.172,2.40545,2.41195,2.41196,2.61329
EQ3,-1.461869068,2.06172,2.06174,2.07154,2.09176,2.09177,2.11258,2.11259,2.1217,2.13359,2.1336,2.14793,2.14797,2.15725,2.15725,2.16666,2.36348,2.73118
EQ4,-1.460591018,2.00505,2.00617,2.03903,2.07711,2.07954,2.08109,2.08558,2.10753,2.10794,2.12946,2.13505,2.17115,2.23491,2.27819,2.31977,2.37671,2.46514
EQ5,-1.45720399,2.01415,2.02225,2.03077,2.04282,2.07234,2.09239,2.09999,2.10054,2.1294,2.15396,2.17287,2.19086,2.20158,2.25585,2.25829,2.28141,3.04186
EQ6,-1.456209385,1.98985,2.04225,2.04225,2.0603,2.07741,2.07742,2.08783,2.08787,2.1233,2.12419,2.12441,2.12443,2.12866,2.12873,2.50581,2.50584,2.63192
EQ7,-1.454236421,1.96856,1.99316,2.00059,2.00739,2.03783,2.07169,2.0813,2.09056,2.10479,2.12396,2.13581,2.22485,2.27859,2.30348,2.34854,2.40563,2.94422
EQ8,-1.452400179,1.96542,2.01194,2.01195,2.0747,2.07471,2.08085,2.08085,2.0938,2.11391,2.11394,2.149,2.14906,2.21332,2.25,2.25006,2.39062,2.96301
EQ9,-1.450381774,2.00397,2.00964,2.04323,2.07753,2.08912,2.09704,2.10175,2.10932,2.11025,2.117,2.12545,2.139,2.14677,2.16122,2.25375,2.50772,2.68909
EQ10,-1.449926002,2.03527,2.0501,2.06059,2.06472,2.06936,2.07788,2.09418,2.0967,2.13534,2.13672,2.13785,2.14132,2.16137,2.17594,2.20761,2.54804,3.00757
EQ11,-1.448944546,1.99515,2.03057,2.0318,2.06711,2.08616,2.09281,2.09395,2.10364,2.13061,2.14225,2.15862,2.21653,2.39056,2.40775,2.46375,2.54871,2.6385
EQ12,-1.447451188,1.99796,2.00463,2.03407,2.03861,2.05594,2.06682,2.08089,2.0906,2.09286,2.10684,2.12486,2.16399,2.20048,2.22396,2.33134,2.5304,2.96396
EQ13,-1.446916492,2.03971,2.04205,2.05525,2.05744,2.08391,2.08866,2.09155,2.09547,2.10731,2.12954,2.15487,2.18572,2.23248,2.41418,2.55113,2.65416,2.65994
EQ14,-1.445401829,1.95072,1.95075,1.96825,2.04578,2.04581,2.06986,2.15395,2.15398,2.15982,2.15989,2.16578,2.16583,2.21562,2.26427,2.2643,2.28535,2.66318
