ID,SMILES,DATA
1,CC1=CC(=O)C=CC1=O,5.5705
2,CCCCCCCCCCCCCCCc1cc(ccc1N)O,7.332
3,c1ccc(cc1)C(CCI)(c2ccccc2)c3ccccc3,5.449
4,CN(C)CCC(=O)c1ccccc1,4.631
5,Cc1cc(c(c(c1C)C)C[N+](C)(C)C)C,6.696
6,c1ccnc(c1)C(=O)O,4
7,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,7.731
8,C[C@@H]1[C@H](OC=C2C1=C(C(=O)C(=C2O)C(=O)O)C)C,4.6935
9,c1ccc(cc1)C(=O)/C=C/c2cccnc2,5.495
10,c1ccc(cc1)C(=O)/C=C/c2ccccn2,5.614
11,c1ccc(cc1)/C=C\2/C(=O)OC(=N2)c3ccccc3,4.677
12,c1ccc(cc1)CCCC(=O)O,3.5
13,CCN(CC)CCCNc1c2ccc(cc2nc3c1cc(cc3)OC)Cl,7.325
14,CCN(CC)CCCC(C)Nc1c(cnc2c1cc(c(c2)Cl)C)C,5.062
15,c1ccc(cc1)Oc2ccc(cc2)CCCC3=C(C(=O)c4ccccc4C3=O)O,4.743
16,C(CNCCNCCN)N,4
17,Cc1ccccc1NC(=N)Nc2ccccc2C,4
18,c1ccc(cc1)CC2(C(=O)NC(=O)N2)c3cccnc3,4
19,c1ccc(cc1)NC(=O)c2ccccc2OCC(=O)O,4
20,c1ccc2c(c1)ccc3c2cccc3,5.58
21,c1ccc2c(c1)-c3ccccc3[I+]2,4.301
22,Cc1c(cc(c(c1[N+](=O)[O-])Br)[N+](=O)[O-])[N+](=O)[O-],6.497
23,C1C(O1)C2CO2,5.476
24,c1ccc2c(c1)/C(=N/NC(=S)N)/C(=O)N2,3.798
25,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCCSC(=N)N,5.609
26,c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N,8
27,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,7.46
28,C(C(C(=O)O)N)OC(=O)C=[N+]=N,6.654
29,c12c([nH]c(nc1=O)N)nn[nH]2,6.915
30,CS(=O)(=O)OCCCCOS(=O)(=O)C,3.754
31,c1[nH]c2c(n1)[nH]c(nc2=S)N,6.6375
32,c1[nH]c2c(n1)[nH]cnc2=S,5.896
33,CC(=O)N[C@H]1CCc2cc(c(c(c2-c3c1cc(=O)c(cc3)OC)OC)OC)OC,7.866
34,CN(CCCl)CCCl,6.556
35,CC(=O)Nc1ccc(cc1)C(=O)CCl,5.618
36,c1ccc(cc1)C(=O)CC(c2ccncc2)O,4.513
37,c1ccc(cc1)/C=C/C(=O)c2ccccn2,4.769
38,c1cnccc1/C=C/C(=O)O,4
39,CC1=CCC(CC1)C(=C)C,3.542
40,CN(C)c1ccc(cc1N)C(=O)c2ccc(c(c2)N)N(C)C,5.715
41,CC(C)N(CC(=O)O)CC(=O)O,4
42,c1ccc(cc1)C(c2ccc3cccnc3c2O)Nc4ccc(cc4)[N+](=O)[O-],6.609
43,c1ccc(cc1)C(c2ccc3cccnc3c2O)Nc4ccc(cc4)C(=O)O,5.764
44,c1ccc(cc1)C(c2ccc3cccnc3c2O)Nc4ccccc4C(=O)O,5.714
45,c1ccc(cc1)NC(c2ccc(cc2)[N+](=O)[O-])c3ccc4cccnc4c3O,5.664
46,Cc1ccnc(c1)NC(c2ccccc2)c3ccc4cccnc4c3O,5.614
47,CCOC(=O)c1ccccc1NC(c2ccccc2)c3ccc4cccnc4c3O,5.635
48,C1CCC(C1)(C(=O)O)N,3.204
49,CC(C)(C(=O)C(Br)Br)Br,5.693
50,CCN(CC(=O)O)CC(=O)O,4
51,Cc1cc(=O)oc2c1ccc(c2)OC(=O)C,4
52,COc1ccc2c(c1)c(c3ccc(cc3n2)Cl)NCCCCCN4CCCCC4,7.136
53,CC(Cc1ccccc1OC)N,4
54,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)N,4.598
55,c1ccc(cc1)[Sn](c2ccccc2)(c3ccccc3)Cl,6.53
56,COCCO,4
57,CCCCCCCCCCNC(=O)CI,6.712
58,c1c2c([nH]n1)nc[nH]c2=O,3.722
59,c1c2c(ncnc2[nH]n1)N,5.447
60,CCCCNc1c2cnn(c2ncn1)c3ccccc3,5.28
61,Cn1c2c(cn1)c(ncn2)NCc3ccccc3,4
62,c1ccc2c(c1)c(n[nH]2)CC(C(=O)O)N,4
63,C[C@]12CC[C@@H](C1(C)C)C[C@@H]2OCC(C)(C)[N+](=O)[O-],4.727
64,c1ccc(cc1)OC2=C(C(=O)c3ccccc3C2=O)Cl,5.651
65,c1cc(cc2c1cc3ccc(cc3n2)N)N,5.717
66,CCCCCCc1ccc(cc1O)O,4.495
67,c1ccc(c(c1)/C=N/NC(=O)N)O,4
68,C[C@H](CCC(=O)O)[C@H]1CC[C@@]2([C@@]1(CC(=O)[C@H]3[C@H]2C(=O)C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,4
69,c1cc(oc1)CNc2c3cn[nH]c3ncn2,4
70,C(C(C(C(C1C(C(C(=O)O1)O)O)O)O)O)O,4
71,C(C(=O)C(C(C(C(=O)O)O)O)O)O,4
72,c1ccc2c(c1)ccc3c2cc(cc3)CCC(=O)NN,4
73,CN(C)C(=S)SSC(=S)N(C)C,7.509
74,Cc1ccccc1/N=N/c2ccc(c(c2)C)N,5.849
75,c1cc(ccc1O)S(=O)c2ccc(cc2)O,4
76,c1ccc(cc1)/N=N/c2ccc(cc2)S(=O)(=O)O,4
77,C[N+](C)(C)CCc1ccccc1,4
78,c1ccc(cc1)OCC(=O)N,4
79,c1ccc(cc1)/N=N/c2ccc(nc2N)N,4.531
80,c1(=O)[nH]c(=O)[nH][nH]1,4
81,C(C(=O)O)S,4
82,c1([nH]nc(n1)N)N,2.765
83,C1C(=O)NC(=S)S1,4
84,C1CCN(CC1)C(=S)S,6.262333333
85,c1cnc(c(n1)C(=O)O)C(=O)O,4
86,C[As](=O)(C)O,4
87,CC(=O)N1CC(=O)NC1=S,4
88,c1(nnc(n1N)N)N,4
89,C1CNC(=S)N1,4
90,C(C(C(C(C(C(=O)O)O)O)O)O)O,4
91,CCOC(=O)C(c1ccccc1)C(=O)Cc2ccccc2,4
92,c1ccc(cc1)C(=O)/C=C/c2cccc(c2)Cl,5.457
93,C(=N[Cu+2](N)(N)(N)(N)N=C=S)=S,4.614
94,CCCCCCCCCCCC[n+]1ccc(cc1)CCCCCCCCC,6.218
95,C=CCCCCCCCCC(=O)O,3.894
96,c1cc(ccc1N)[As](=O)(O)O,4
